District,harvest,Total land area,Agricultural land,% of agricultural land,Arable land,Physical cultivated land,Area under seasonal crops,Area under permanent crops,Temporary fallow land,Temporarily meadow and pasture,Area under permanent pasture,Modern irrigated agricultural land (Ha),Agricultural area under erosion control,Agricultural area under agroforestry trees,Inorganic fertilizer,Organic fertilizer,cultivated_land,Pure,Mixed
Nyarugenge,748.2004,13.094142307934574,5.2007636900000005,39.71824627909021,3.723297,4.667489,3.206043,2.843131,0.5172546,0.014764089999999999,0.01602,0.0,2870.283,1608.87,477.3399,1810.858,748.2004,42.09051162198776,57.909494805451075
Gasabo,3522.7568699999997,42.710230252148435,21.306169,49.885399526564825,19.088279999999997,19.0467,17.34502,10.52891,1.3881839999999999,0.08875519,0.873615,335.2402,14555.5,7652.509,5598.986,13722.88,3521.638,24.527078181522256,75.47294281949104
Kicukiro,1253.27493,16.562534364404296,5.7557883,34.75185725422655,5.147869,5.276383,4.705094,2.534384,0.4098737,0.03290113,0.06953243,112.6213,3004.161,3340.41,1344.029,2907.877,1253.21,23.605185597785454,76.39478995364817
Nyanza,5974.1877,67.04278783349609,45.506702,67.87710277355713,43.218849999999996,41.90757,39.67889,14.02414,3.194498,0.39395280000000005,0.40464120000000003,761.0143,34126.67,21228.9,9078.038,26061.01,5974.208,25.976571774502794,74.02340436345986
Gisagara,6483.5345,67.47864910018312,47.401209400000006,70.24623348583215,45.19554,40.365230000000004,38.75286,14.40648,6.442671000000001,0.0,0.5933084,2749.726,30228.34,15635.65,15661.49,29321.92,6058.316,24.16192103946887,75.83809630218877
Nyaruguru,4415.076,101.0479856083862,34.17167,33.817269878523945,30.56745,30.07387,26.077740000000002,9.398033,4.097809,0.391901,0.0,0.0,27613.1,11108.4,13531.43,21385.52,4498.449,46.55047720828747,53.44951614142111
Huye,4727.2389,58.063407297619634,34.424208899999996,59.28726973177692,32.51634,29.36745,28.03653,11.1856,4.431839,0.04797834,1.4766261759277344,1038.052,26312.01,9592.031,8653.148,19686.71,4720.665,31.152391508285536,68.84761530197548
Nyamagabe,5695.534900000001,109.0743344895996,44.067016200000005,40.40090311456529,38.39775,36.89244,31.10959,13.26683,7.166201,0.12196080000000001,0.008374454,60.98038,34725.03,15651.69,14613.01,25198.37,5877.443,46.82978409668756,53.170207771565124
Ruhango,4162.88948,62.584193684021,44.61971930000001,71.29550877539278,39.70075,38.89723,33.33383,14.570409999999999,5.722487,0.7024323,0.0,949.1715,32891.8,13032.82,6837.695,24366.51,4162.889,38.54212754995664,61.45787630635908
Muhanga,1911.7978,64.09447869753419,39.349516599999994,61.39298953610778,36.41659,33.92526,30.29279,17.02059,5.424252999999999,0.7578436000000001,0.0,190.6648,35398.97,11618.76,6836.859,24604.43,1912.998,33.77727982040521,66.22274464514051
